gene_names;protein_names;ksmbr_number;kust_number;accession_number
rfaF/waaF;similar to ADP-heptose-LPS-heptosyl transferase II;KSMBR1_0007;kuste2843;A0A2C9C9J6
KSMBR1_0017;hypothetical protein;KSMBR1_0017;kuste2829;A0A2C9C9K9
putB;similar to sodium solute symporter;KSMBR1_0027;kuste2814;A0A2C9C9L8
KSMBR1_0037;AIPR protein;KSMBR1_0037;;A0A2C9C9M9
KSMBR1_0057;putative orf;KSMBR1_0057;;A0A2C9C9P1
tnpA_1;similar to transposase;KSMBR1_0067;kustb0253 aap;A0A2C9C9Q1
tnpA_1;similar to transposase;KSMBR1_0067;kustc0800;A0A2C9C9Q1
tnpA_1;similar to transposase;KSMBR1_0067;kustc0953;A0A2C9C9Q1
tnpA_1;similar to transposase;KSMBR1_0067;kustc1163;A0A2C9C9Q1
tnpA_1;similar to transposase;KSMBR1_0067;kustd2001;A0A2C9C9Q1
tnpA_1;similar to transposase;KSMBR1_0067;kuste2266;A0A2C9C9Q1
tnpA_1;similar to transposase;KSMBR1_0067;kuste2422;A0A2C9C9Q1
tnpA_1;similar to transposase;KSMBR1_0067;kuste2508;A0A2C9C9Q1
tnpA_1;similar to transposase;KSMBR1_0067;kuste2547;A0A2C9C9Q1
tnpA_1;similar to transposase;KSMBR1_0067;kuste2778;A0A2C9C9Q1
tnpA_1;similar to transposase;KSMBR1_0067;kuste2948;A0A2C9C9Q1
tnpA_1;similar to transposase;KSMBR1_0067;kuste3077;A0A2C9C9Q1
tnpA_1;similar to transposase;KSMBR1_0067;kuste3295;A0A2C9C9Q1
tnpA_1;similar to transposase;KSMBR1_0067;kuste3448;A0A2C9C9Q1
tnpA_1;similar to transposase;KSMBR1_0067;kuste3536;A0A2C9C9Q1
tnpA_1;similar to transposase;KSMBR1_0067;kuste3545;A0A2C9C9Q1
tnpA_1;similar to transposase;KSMBR1_0067;kuste3644;A0A2C9C9Q1
tnpA_1;similar to transposase;KSMBR1_0067;kuste3659;A0A2C9C9Q1
tnpA_1;similar to transposase;KSMBR1_0067;kuste4066;A0A2C9C9Q1
tnpA_1;similar to transposase;KSMBR1_0067;kuste4604;A0A2C9C9Q1
tnpA_1;similar to transposase;KSMBR1_0067;kuste4648;A0A2C9C9Q1
tnpA_10;similar to transposase;KSMBR1_1192;kustb0253;A0A2C9C9Q1
tnpA_10;similar to transposase;KSMBR1_1192;kustc0800;A0A2C9C9Q1
tnpA_10;similar to transposase;KSMBR1_1192;kustc0953;A0A2C9C9Q1
tnpA_10;similar to transposase;KSMBR1_1192;kustc1163;A0A2C9C9Q1
tnpA_10;similar to transposase;KSMBR1_1192;kustd2001;A0A2C9C9Q1
tnpA_10;similar to transposase;KSMBR1_1192;kuste2266;A0A2C9C9Q1
tnpA_10;similar to transposase;KSMBR1_1192;kuste2422;A0A2C9C9Q1
tnpA_10;similar to transposase;KSMBR1_1192;kuste2508;A0A2C9C9Q1
tnpA_10;similar to transposase;KSMBR1_1192;kuste2547;A0A2C9C9Q1
tnpA_10;similar to transposase;KSMBR1_1192;kuste2778;A0A2C9C9Q1
tnpA_10;similar to transposase;KSMBR1_1192;kuste2948;A0A2C9C9Q1
tnpA_10;similar to transposase;KSMBR1_1192;kuste3077;A0A2C9C9Q1
tnpA_10;similar to transposase;KSMBR1_1192;kuste3295;A0A2C9C9Q1
tnpA_10;similar to transposase;KSMBR1_1192;kuste3448;A0A2C9C9Q1
tnpA_10;similar to transposase;KSMBR1_1192;kuste3536;A0A2C9C9Q1
tnpA_10;similar to transposase;KSMBR1_1192;kuste3545;A0A2C9C9Q1
tnpA_10;similar to transposase;KSMBR1_1192;kuste3644;A0A2C9C9Q1
tnpA_10;similar to transposase;KSMBR1_1192;kuste3659;A0A2C9C9Q1
tnpA_10;similar to transposase;KSMBR1_1192;kuste4066;A0A2C9C9Q1
tnpA_10;similar to transposase;KSMBR1_1192;kuste4604;A0A2C9C9Q1
tnpA_10;similar to transposase;KSMBR1_1192;kuste4648;A0A2C9C9Q1
tnpA_17;similar to transposase;KSMBR1_3627;kustb0253;A0A2C9C9Q1
tnpA_17;similar to transposase;KSMBR1_3627;kustc0800;A0A2C9C9Q1
tnpA_17;similar to transposase;KSMBR1_3627;kustc0953;A0A2C9C9Q1
tnpA_17;similar to transposase;KSMBR1_3627;kustc1163;A0A2C9C9Q1
tnpA_17;similar to transposase;KSMBR1_3627;kustd2001;A0A2C9C9Q1
tnpA_17;similar to transposase;KSMBR1_3627;kuste2266;A0A2C9C9Q1
tnpA_17;similar to transposase;KSMBR1_3627;kuste2422;A0A2C9C9Q1
tnpA_17;similar to transposase;KSMBR1_3627;kuste2508;A0A2C9C9Q1
tnpA_17;similar to transposase;KSMBR1_3627;kuste2547;A0A2C9C9Q1
tnpA_17;similar to transposase;KSMBR1_3627;kuste2778;A0A2C9C9Q1
tnpA_17;similar to transposase;KSMBR1_3627;kuste2948;A0A2C9C9Q1
tnpA_17;similar to transposase;KSMBR1_3627;kuste3077;A0A2C9C9Q1
tnpA_17;similar to transposase;KSMBR1_3627;kuste3295;A0A2C9C9Q1
tnpA_17;similar to transposase;KSMBR1_3627;kuste3448;A0A2C9C9Q1
tnpA_17;similar to transposase;KSMBR1_3627;kuste3536;A0A2C9C9Q1
