accession_number;gene_names;protein_names;ksmbr_number;kust_number
A0A2C9CAD0;;Uncharacterized protein;KSMBR1_0001;
A0A2C9C9R8;panC;Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme);KSMBR1_0002;
A0A2C9CA35;;UPF0020 domain-containing protein;KSMBR1_0003;
A0A2C9CA00;;DpnII domain-containing protein;KSMBR1_0004;
A0A2C9CCS8;;Uncharacterized protein;KSMBR1_0005;
A0A2C9CAB2;;Methyltransferase (EC 2.1.1.-);KSMBR1_0006;
A0A2C9C9J6;rfaF waaF;Uncharacterized protein;KSMBR1_0007;
A0A2C9C9Z5;;DDE_5 domain-containing protein;KSMBR1_0008;
A0A2C9C9Z8;;GGDEF domain-containing protein;KSMBR1_0009;
A0A2C9CA02;;Uncharacterized protein;KSMBR1_0010;
Q1Q0R7;nox;Similar to pyridine nucleotide-disulphide oxidoreductase (EC 1.6.99.3);KSMBR1_0011;kuste2839
Q1Q0R8;;DUF4405 domain-containing protein;KSMBR1_0012;kuste2838
A0A2C9CA45;;Uncharacterized protein;KSMBR1_0013;
A0A2C9CA10;;Uncharacterized protein;KSMBR1_0014;
Q1Q0Q4;arsR arsR_1;Strongly similar to response regulator of the arsR family (Strongly similar to response regulator of the arsR family protein);KSMBR1_0015;kuste2833
Q1Q3E3;;FmdE domain-containing protein;KSMBR1_00152;kuste3764
A0A2C9CAE9;;Uncharacterized protein;KSMBR1_00156;
Q1Q0Q6;;Uncharacterized protein;KSMBR1_0016;kuste2831
A0A2C9C9K9;;Uncharacterized protein;KSMBR1_0017;
A0A2C9CA05;;Uncharacterized protein;KSMBR1_0018;
A0A2C9CA08;;Uncharacterized protein;KSMBR1_0019;
A0A2C9CA12;;Uncharacterized protein;KSMBR1_0020;
Q1Q0P4;;Uncharacterized protein;KSMBR1_0021;kuste2824
A0A2C9C9T9;;Hemerythrin HHE cation binding domain protein;KSMBR1_0022;
A0A2C9CA54;;Uncharacterized protein;KSMBR1_0023;
Q1Q0Q0;acrF;Similar to acriflavine resistance protein F;KSMBR1_0024;kuste2818
Q1Q0Q1;acrA_1;HlyD_D23 domain-containing protein;KSMBR1_0025;kuste2817
A0A2C9CAC9;;HTH tetR-type domain-containing protein;KSMBR1_0026;
A0A2C9C9L8;putB;Uncharacterized protein;KSMBR1_0027;
A0A2C9CA14;;Uncharacterized protein;KSMBR1_0028;
A0A2C9CA18;;Uncharacterized protein;KSMBR1_0029;
A0A2C9CA22;;Uncharacterized protein;KSMBR1_0030;
A0A2C9CAG2;nucI;Highly similar to nuclease;KSMBR1_0031;
A0A2C9C9V3;;Rap1a domain-containing protein;KSMBR1_0032;
Q1Q0P2;;Uncharacterized protein;KSMBR1_0033;kuste2809
A0A2C9CA31;glnA_1;Strongly similar to glutamate-ammonia ligase type III (EC 6.3.1.2);KSMBR1_0034;
A0A2C9CCV8;;TPR_REGION domain-containing protein;KSMBR1_0035;
A0A2C9CAD8;;Uncharacterized protein;KSMBR1_0036;
A0A2C9C9M9;;AIPR protein;KSMBR1_0037;
A0A2C9CA27;;Reverse transcriptase (RNA-dependent DNA polymerase);KSMBR1_0038;
Q1Q2U7;CHC2;Hypothetical zinc finger containing protein (Putative zinc finger containing protein);KSMBR1_0039 KSMBR1_0053 KSMBR1_0090 KSMBR1_0492 KSMBR1_0691 KSMBR1_1112 KSMBR1_1558 KSMBR1_2130 KSMBR1_3096 KSMBR1_3116 KSMBR1_3607 KSMBR1_3661 KSMBR1_3677 KSMBR1_3851 KSMBR1_3896;kuste2494
Q1Q2U8;exeA exeA_1 exeA_10 exeA_11 exeA_12 exeA_13 exeA_14 exeA_15 exeA_16 exeA_17 exeA_2 exeA_3 exeA_4 exeA_5 exeA_6 exeA_7 exeA_8 exeA_9;Similar to general secretion pathway protein A (ExeA);KSMBR1_0040 KSMBR1_0052 KSMBR1_0089 KSMBR1_0216 KSMBR1_0491 KSMBR1_0692 KSMBR1_1113 KSMBR1_1559 KSMBR1_2131 KSMBR1_2680 KSMBR1_3097 KSMBR1_3115 KSMBR1_3608 KSMBR1_3660 KSMBR1_3678 KSMBR1_3852 KSMBR1_3895;kuste2493
A0A2C9CAH3;;Uncharacterized protein;KSMBR1_0041 KSMBR1_3894;
